Municipality,Settlement,ID,Facility Type,Facility Name,Neighborhood,Street,House Number,X Cord,Y Cord,Building Amount,Owner,Operator,Contact Phone,Contact eMail,Seat amount,Availability,Fencing Available,Lighting Available,Accessibility,Parking Available,Facility Condition,Competition Standard,Official Competition Use,Year Built,School Served,Availability Category,Fencing Available Numeric,Lighting Available Numeric,Facility Condition Numeric,Facility Age
אבו סנאן,,032F1104800,מגרש כדורגל – 45X90 מ',מגרש כדוררגל,מערבית,,,215320.0,763110.0,,אבו סנאן,מועצה מקומית אבוסנאן,052436358,tahseen.abreek@gmail.com,300.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1980.0,,Low,1,1,4.0,45.0
אבו סנאן,,032M1106470,מגרש שחבק דשא סינטטי,מגרש שחבק,כרם אלרוגמה,,,216250.0,763130.0,,אבו סנאן,מועצה מקומית אבוסנאן,049568865,nabihshekh@yahoo.com,50.0,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2019.0,"חט""ב",Very High,1,1,4.0,6.0
אבו סנאן,,032B2104962,מגרש ספורט משולב – 43X32 מ',מגרש משולב,שכונת החיילים,,,216960.0,762890.0,,אבו סנאן,מועצה מקומית אבוסנאן,049964527,tahseen.abreek@gmail.com,150.0,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2002.0,יסודי ג',Very High,1,1,4.0,23.0
אבן יהודה,,021G3308679,אולם ספורט בינוני – 32x19 מ',אולם ספורט ראשונים,,,,190312.0,687459.0,,אבן יהודה,מועצה מקומית אבן יהודה,,,,מבוקר ועד לילה,לא,לא,לא,לא,לא פעיל,,,2020.0,כן,High,0,0,2.0,5.0
אבן יהודה,,021F2106974,מגרש כדורגל - לא תקני,מתנ''ס,,שבזי,1,189230.0,687430.0,7.0,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,100.0,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008.0,,Very High,1,1,4.0,17.0
אבן יהודה,,021B2106977,מגרש ספורט משולב – 43X32 מ',מתנ''ס,,שבזי,1,189230.0,687430.0,7.0,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2008.0,,Very High,1,1,4.0,17.0
אבן יהודה,,021G3100942,אולם ספורט בינוני – 32x19 מ',אולם ספורט חדש,,השרון,57,189010.0,685910.0,1.0,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,500.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2009.0,,Low,1,1,4.0,16.0
אבן יהודה,,021G1100943,אולם ספורט קטן – 20x10 מ',אולם ספורט חדש,,השרון,57,189010.0,685910.0,1.0,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2009.0,,Low,1,1,4.0,16.0
אבן יהודה,,021S1106926,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,מתחם ספורט חדש,,השרון,57,189010.0,685910.0,1.0,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,50.0,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2009.0,,Very High,1,1,4.0,16.0
אבן יהודה,,021T1106928,מגרש טניס,מתחם ספורט חדש,,השרון,57,189010.0,685910.0,1.0,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,50.0,בתיאום בלבד,כן,כן,כן,כן,לא פעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2009.0,,Low,1,1,2.0,16.0
אבן יהודה,,021B2106929,מגרש ספורט משולב – 43X32 מ',מתחם ספורט חדש,,השרון,57,189010.0,685910.0,1.0,אבן יהודה,מתנ''ס אבן יהודה,09-8910070,e_yehuda@matnasim.org.il,100.0,פתוח ללא הגבלה,כן,כן,כן,כן,לא פעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2009.0,,Very High,1,1,2.0,16.0
אבן יהודה,,021P1102275,בריכת שחיה - 25X12.5 מ',בריכת שחיה,,השומרון,45,189210.0,685650.0,1.0,אבן יהודה,מועצת אבן יהודה,09-8999758,even.yehuda@gmail.com,100.0,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1970.0,,,1,1,4.0,55.0
אבן יהודה,,021G3101950,אולם ספורט בינוני – 32x19 מ',בית ספר אמריקאי,,השומרון,65,188750.0,685700.0,5.0,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,100.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2006.0,בית ספר אמריקאי,Low,1,1,4.0,19.0
אבן יהודה,,021P2101949,בריכת שחיה - 20X50 מ',בית ספר אמריקאי,,השומרון,65,188750.0,685700.0,5.0,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,50.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2006.0,בית ספר אמריקאי,Low,1,1,4.0,19.0
אבן יהודה,,021T1101938,מגרש טניס,בית ספר אמריקאי,,השומרון,65,188750.0,685700.0,5.0,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2006.0,בית ספר אמריקאי,Low,1,1,4.0,19.0
אבן יהודה,,021F1101934,מגרש כדורגל – 45X90 מ',בית ספר אמריקאי,,השומרון,65,188750.0,685700.0,5.0,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,100.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2006.0,בית ספר אמריקאי,Low,1,1,4.0,19.0
אבן יהודה,,021B2101946,מגרש ספורט משולב – 43X32 מ',בית ספר אמריקאי,,השומרון,65,188750.0,685700.0,5.0,,בית הספר האמריקאי,09-8901025,egeras@wbais.org,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2006.0,בית ספר אמריקאי,Low,1,1,4.0,19.0
אבן יהודה,,021G3100273,אולם ספורט בינוני – 32x19 מ',אולם בכר,,השומרון,43,189410.0,685570.0,7.0,אבן יהודה,מועצת אבן יהודה,09-8915000,even.yehuda@gmail.com,150.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1988.0,בית ספר בכר,Low,1,1,4.0,37.0
אבן יהודה,,021G1100777,אולם ספורט קטן – 20x10 מ',אולם ספורט,כפר הנוער הדסים,,,189620.0,688220.0,20.0,,ויצו הדסים,09-8999252,hadassim@gmail.com,,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1944.0,תיכון הדסים,Low,1,1,4.0,81.0
אבן יהודה,,021P2102276,בריכת שחיה - 20X50 מ',בריכת שחיה,כפר הנוער הדסים,,,189680.0,688130.0,20.0,,ויצו הדסים,09-8999252,hadassim@gmail.com,50.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1944.0,תיכון הדסים,Low,1,1,4.0,81.0
אום אל-פחם,,154B3208636,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר עין אבראהים,,,,213984.0,716073.0,,אום אל-פחם,עיריית אום אל-פחם,,,100.0,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2001.0,,Very High,0,0,4.0,24.0
אום אל-פחם,,154B3108637,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלבאטן,,,,214446.0,715016.0,,אום אל-פחם,עיריית אום אל-פחם,,,,בוקר בלבד,לא,לא,לא,לא,תקין ופעיל,,,2003.0,,Medium,0,0,4.0,22.0
אום אל-פחם,,154B3108638,מגרש ספורט במידות אחרות – לא תקני,מגרש תיכון מקיף עליון,,,,214543.0,715153.0,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,1985.0,,Very High,0,0,3.0,40.0
אום אל-פחם,,154B3108639,מגרש ספורט במידות אחרות – לא תקני,מגרש תיכון מקיף תחתון,,,,214519.0,715184.0,,אום אל-פחם,עיריית אום אל-פחם,,,150.0,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,1992.0,,Very High,0,0,4.0,33.0
אום אל-פחם,,154B3108640,מגרש ספורט במידות אחרות – לא תקני,מגרש עראק אלשבאב,,,,213684.0,714619.0,,אום אל-פחם,עיריית אום אל-פחם,,,150.0,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2003.0,,Very High,0,0,3.0,22.0
אום אל-פחם,,154B3108641,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלאהליה,,,,214691.0,715330.0,,אום אל-פחם,עיריית אום אל-פחם,,,,בוקר בלבד,לא,לא,לא,לא,תקין ופעיל,,,2003.0,,Medium,0,0,4.0,22.0
אום אל-פחם,,154B3108643,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אבן ח'לדון,,,,215075.0,713829.0,,אום אל-פחם,עיריית אום אל-פחם,,,200.0,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,1995.0,,Very High,0,0,4.0,30.0
אום אל-פחם,,154B3108644,מגרש ספורט במידות אחרות – לא תקני,מגרש פארק סויסה,,,,217334.0,715465.0,,אום אל-פחם,עיריית אום אל-פחם,,,250.0,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2008.0,,Very High,0,0,4.0,17.0
אום אל-פחם,,154B3108645,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר קחאוש,,,,214646.0,715770.0,,אום אל-פחם,עיריית אום אל-פחם,,,120.0,בוקר בלבד,לא,לא,לא,לא,תקין ופעיל,,,2004.0,,Medium,0,0,4.0,21.0
אום אל-פחם,,154B3108646,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי סית ח'יזראן,,,,215024.0,713353.0,,אום אל-פחם,עיריית אום אל-פחם,,,180.0,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2014.0,,Very High,0,0,4.0,11.0
אום אל-פחם,,154B3108647,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלח'יאם,,,,214271.0,713669.0,,אום אל-פחם,עיריית אום אל-פחם,,,,בוקר בלבד,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2001.0,,Medium,0,0,3.0,24.0
אום אל-פחם,,154B3108648,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אפאק,,,,215342.0,715422.0,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2008.0,,Very High,0,0,4.0,17.0
אום אל-פחם,,154B3108649,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלע'זאלי,,,,215251.0,714743.0,,אום אל-פחם,עיריית אום אל-פחם,,,120.0,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2002.0,,Very High,0,0,4.0,23.0
אום אל-פחם,,154B3108650,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלזהראא,,,,214407.0,713273.0,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,,1987.0,,Very High,0,0,4.0,38.0
אום אל-פחם,,154B3108651,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אבן סינא,,,,214097.0,713890.0,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,1990.0,,Very High,0,0,4.0,35.0
אום אל-פחם,,154B3108652,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלפאראבי,,,,213484.0,714058.0,,אום אל-פחם,עיריית אום אל-פחם,,,150.0,בוקר בלבד,לא,לא,לא,לא,תקין ופעיל,,,2000.0,,Medium,0,0,4.0,25.0
אום אל-פחם,,154B3108653,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר ח'דיג'ה,,,,213570.0,714036.0,,אום אל-פחם,עיריית אום אל-פחם,,,120.0,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2003.0,,Very High,0,0,4.0,22.0
אום אל-פחם,,154B3108654,מגרש ספורט במידות אחרות – לא תקני,מגרש בית ספר אלאקואס,,,,215218.0,712629.0,,אום אל-פחם,עיריית אום אל-פחם,,,120.0,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2011.0,,Very High,0,0,4.0,14.0
אום אל-פחם,,154B3108655,מגרש ספורט במידות אחרות – לא תקני,מגרש תיכון אלחכמה,,,,213150.0,713008.0,,אום אל-פחם,עיריית אום אל-פחם,,,200.0,פתוח ללא הגבלה,לא,לא,לא,לא,תקין ופעיל,,,2012.0,,Very High,0,0,4.0,13.0
אום אל-פחם,,154B3108656,מגרש ספורט במידות אחרות – לא תקני,מגרש תיכון אבן אלהייתם,,,,215263.0,713294.0,,אום אל-פחם,עיריית אום אל-פחם,,,,בוקר בלבד,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2001.0,,Medium,0,0,3.0,24.0
אום אל-פחם,,154B3108657,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי ראס אלהיש,,,,214055.0,714170.0,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2003.0,,Very High,0,0,3.0,22.0
אום אל-פחם,,154B3108658,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי אלעראיש,,,,212704.0,713865.0,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2000.0,,Very High,0,0,3.0,25.0
אום אל-פחם,,154B3108659,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי אלמועלקה,,,,211787.0,712294.0,,אום אל-פחם,עיריית אום אל-פחם,,,,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2000.0,,Very High,0,0,3.0,25.0
אום אל-פחם,,154B3108660,מגרש ספורט במידות אחרות – לא תקני,מגרש שכונתי עקאדה,,,,216109.0,716368.0,,אום אל-פחם,עיריית אום אל-פחם,,,150.0,פתוח ללא הגבלה,לא,לא,לא,לא,פעיל וזקוק לשיפוץ,,,2002.0,,Very High,0,0,3.0,23.0
אום אל-פחם,,154G2300164,אולם ספורט קטן – 15x24 מ',אולם אלראזי,שיכון מערבי,,,213558.0,713980.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,200.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2003.0,"אלראזי, חדיג'ה",Low,1,1,4.0,22.0
אום אל-פחם,,154G3300844,אולם ספורט בינוני – 32x19 מ',אולם ספורט - ואדי אלנוסור,ואדי אלנוסור,,,214810.0,712863.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,360.0,בתיאום בלבד,כן,כן,כן,לא,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2007.0,ואדי אלנוסור,Low,1,1,4.0,18.0
אום אל-פחם,,154G3300845,אולם ספורט בינוני – 32x19 מ',אולם ספורט - מעל מחלקת הנדסה,אלבאטן,,,214340.0,715087.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,360.0,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1999.0,תיכון מקיף,High,1,1,4.0,26.0
אום אל-פחם,,154G1101013,אולם ספורט קטן – 20x10 מ',"אולם ספורט מתנ""ס",אלג'זלאת,,,214674.0,714017.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,,בתיאום בלבד,כן,כן,לא,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2009.0,,Low,1,1,4.0,16.0
אום אל-פחם,,154F3301308,אצטדיון כדורגל – 105X70 מ',איצטדיון השלום אום אל פחם,אלדהר,אלואחה,,214884.0,715446.0,1.0,אום אל-פחם,עיריית אום אל פחם - החברה הכלכלית,046310483,sport.uef@gmail.com,6000.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1995.0,,Low,1,1,4.0,30.0
אום אל-פחם,,154P1107795,בריכת שחיה - 25X12.5 מ',"קאנטרי קלאב ""אלואחה""",אלדהר,,,214987.0,715509.0,1.0,,יזם פרטי,04-6113344,info@alwaha.co.il,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2003.0,,,1,1,4.0,22.0
אום אל-פחם,,154B2105591,מגרש ספורט משולב – 43X32 מ',מגרש עומר בן אלחטאב,אלחדור,,,214485.0,713226.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,250.0,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1998.0,"עומר בן אלחטאב, אלזהראא",Low,1,1,3.0,27.0
אום אל-פחם,,154F2103530,מגרש כדורגל - לא תקני,מגרש אלח'נסאא,אלמלסאא,,,214895.0,713122.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,100.0,בתיאום בלבד,כן,לא,לא,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2001.0,אלח'נסאא,Low,1,0,3.0,24.0
אום אל-פחם,,154F2103529,מגרש כדורגל - לא תקני,מגרש אלבאטן,אלבאטן,,,214372.0,714233.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,400.0,בתיאום בלבד,כן,כן,כן,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1966.0,,Low,1,1,3.0,59.0
אום אל-פחם,,154F3303522,אצטדיון כדורגל – 105X70 מ',מגרש אימונים סינטטי ליד האיצטדיון,אלדהר,,,214778.0,715404.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,amtld@hotmail.com,400.0,בתיאום בלבד,כן,כן,כן,כן,לא פעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגה מקומית ואיזורית,2020.0,,Low,1,1,2.0,5.0
אום אל-פחם,,154B2104936,מגרש ספורט משולב – 43X32 מ',מגרש מקורה אלמותנבי,אלח'לאיל,,,215458.0,713769.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,amtld@hotmail.com,100.0,פתוח ללא הגבלה,כן,כן,כן,לא,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1996.0,אלמותנבי,Very High,1,1,4.0,29.0
אום אל-פחם,,154B2103550,מגרש ספורט משולב – 43X32 מ',מגרש אלראזי,שיכון מערבי,,,213527.0,713942.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,120.0,פתוח ללא הגבלה,כן,כן,לא,כן,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1994.0,"אלראזי, חדיג'ה",Very High,1,1,3.0,31.0
אום אל-פחם,,154B3104928,מגרש ספורט במידות אחרות – לא תקני,מגרש מקורה עין איברהים,עין איברהים,,,214236.0,715769.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,0.0,מבוקר ועד לילה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2001.0,,High,1,1,4.0,24.0
